# Source: Chimney.Services — cite as https://www.chimney.services/licensing
state,category_slug,credential_required,credential_name,issuing_body,statute,dollar_threshold,exam,local_overlay,source_urls,confidence,checked_date
Illinois,gas-fireplace-service,none,"No state gas/HVAC credential — IL Plumbing License Law covers potable water/waste/vent, not fuel-gas fitting; state licenses only plumbers (IDPH) and roofers (IDFPR); Home Repair Act written-contract duty >$1k","n/a statewide; local building depts; Chicago DOB","225 ILCS 320 (plumbing, excludes gas fitting); 815 ILCS 513 (Home Repair Act duties)","$1,000 (written-contract duty only)",n,"y — Chicago (fuel-gas piping Muni. Code 18-28-1401 et seq.; licensed plumber + DOB permit; unvented gas fireplaces restricted 18-28-903.1.5)","https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=1343&ChapterID=24; https://codelibrary.amlegal.com/codes/chicago/latest/chicago_il/0-0-0-2689249; https://www.servicetitan.com/licensing/hvac/illinois",high,2026-07-09
Michigan,gas-fireplace-service,license,"Mechanical Contractor license — specialty classification 'solid fuel and vented decorative gas appliances' (gas fireplaces/log sets by definition) + 'fuel gas piping'/'fuel gas piping and venting'; separate 'LP distribution piping' specialty = explicit LP/NG split; full HVAC equipment class covers all","MI LARA Bureau of Construction Codes (Mechanical Division)","Forbes Mechanical Contractors Act, Act 192 of 1984; Mich. Admin. Code R. 339.5161","none found (MI $600 threshold is the residential builder act; mechanical act exemptions UNVERIFIED)","y (exam per classification)",n,"https://www.law.cornell.edu/regulations/michigan/Mich-Admin-Code-R-339-5161; https://www.legislature.mi.gov/documents/mcl/archive/2015/October/mcl-Act-192-of-1984.pdf; https://www.michigan.gov/lara/bureau-list/bcc/sections/permit-section/permits/mechanical-permit-information",high,2026-07-09
Michigan,gas-log-install,license,"Mechanical specialty 'solid fuel and vented decorative gas appliances' — narrow specialty suffices for log sets/decorative appliances without full HVAC class (distinct cheaper path, so tracked separately)","MI LARA Bureau of Construction Codes","Mich. Admin. Code R. 339.5161(1)(b); Act 192 of 1984",none found,y,n,"https://www.law.cornell.edu/regulations/michigan/Mich-Admin-Code-R-339-5161",high,2026-07-09
Pennsylvania,stove-install,registration,"No installer credential — HICPA Home Improvement Contractor registration is the only statewide layer; UCC building permit through municipality (opt-in enforcement); manufacturer-listing rule enters as code via 2021 IRC (UCC triennial update enforceable 1/1/2026)","PA Office of Attorney General (HICPA); municipal UCC code officials (L&I where opted out)","HICPA (73 P.S. section — see rights research); PA UCC Act 45 of 1999 + 34 Pa. Code Ch. 403 (2021 I-Codes eff. 1/1/2026)",none,n,"y — Philadelphia and other cities run their own UCC permitting; no city stove-installer license found","https://www.pa.gov/agencies/dli/programs-services/labor-management-relations/bureau-of-occupational-and-industrial-safety/uniform-construction-code-home; https://gawthrop.com/major-changes-to-pennsylvania-building-codes-affect-municipal-code-officials-designers-contractors-and-builders-starting-january-1-2026/",high,2026-07-09
New Jersey,stove-install,license,"Master Hearth Specialist — 'hearth professional work' expressly covers wood/pellet/solid-fuel fireplaces, inserts, and stoves plus masonry/metal/factory-built chimney systems (C.45:16A-2 definition); entity-level duty at C.45:16A-35 (4th-degree crime); carve-out at C.45:16A-36 lets HIC-registered chimney service professionals act within their own scope; homeowner exempt (C.45:16A-41); NFI Master Hearth Professional cert is the statutory prerequisite — NFI is REFERENCED IN LAW, not voluntary; UCC (N.J.A.C. 5:23) permit — 2021 IRC NJ ed. adopted 9/6/2022","NJ Division of Consumer Affairs — HVACR Board, Master Hearth Specialists Advisory Committee; NJ DCA Division of Codes (UCC permits)","N.J.S.A. 45:16A-2, 45:16A-33 (gas piping duty), 45:16A-35 (hearth-work contracting), 45:16A-36 (carve-out), 45:16A-41 (homeowner); N.J.A.C. 13:32A-7; N.J.A.C. 5:23",none,"y (NFI MHP certification + 5 yrs experience)",n,"https://pub.njleg.gov/bills/2018/PL19/260_.HTM; https://law.justia.com/codes/new-jersey/title-45/section-45-16a-33/; https://www.nj.gov/dca/codes/codreg/current.shtml",high,2026-07-09
New York,stove-install,none,"No state installer credential — Uniform Code permits enforced locally; 2025 Uniform Code (RCNYS 2025, based on 2024 IRC) effective 12/31/2025 carries listing/manufacturer-instruction rules","n/a statewide; local code enforcement offices under DOS Division of Building Standards and Codes","no licensing statute; 19 NYCRR Uniform Code (2025 RCNYS)",none,n,"y — NYC: Local Law 38 of 2015 bans NEW wood-burning fireplaces (existing grandfathered); solid-fuel appliances must meet Air Pollution Control Code + be listed (UL 737/UL 1482) with DOB permits; county HIC licenses (Nassau/Suffolk/Westchester) cover the contracting layer","https://codes.iccsafe.org/content/NYSRC2025P1; https://dos.ny.gov/system/files/documents/2025/09/rule-text_uniform-code.pdf; https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-52472",high,2026-07-09
Connecticut,stove-install,registration,"HIC registration only — the HPG gas-hearth license is expressly limited to propane/natural-gas hearth products, so WOOD and PELLET stove installs fall outside the licensed-trades regime; building permit under 2022 CT State Building Code (2021 IRC portion, permits from 10/1/2022)","CT Dept. of Consumer Protection (HIC registration); local building officials (permits)","Home Improvement Act, Conn. Gen. Stat. § 20-418 et seq. (per rights research); 2022 CSBC (2021 IRC portion)",none,n,n,"https://portal.ct.gov/dcp/occupational-and-professional-division/occupational--profess/hearth-product-work----license-types-and-scope-of-work; https://codes.iccsafe.org/content/CTRC2022P1",high,2026-07-09
Massachusetts,stove-install,license,"No dedicated solid-fuel credential, but the work is double-gated: building permit REQUIRED for every solid-fuel appliance (wood/pellet stove, insert) with joint building-inspector + fire-department inspection (smoke/CO check); permit work needs a Construction Supervisor License and contracting on existing 1-4 family homes needs HIC registration; homeowner may self-install with permit; 780 CMR 10th ed. ch. 51 (MA Residential Code, 2021 IRC base, sole code since 7/1/2025) + NFPA 211","MA Board of Building Regulations and Standards (CSL, code); Office of Consumer Affairs (HIC); local building + fire departments","780 CMR (10th ed.); M.G.L. c. 142A (HIC); CSL per 780 CMR 110.R5",none,"y (CSL exam; no solid-fuel-specific exam)",n,"https://www.hadleyma.org/inspection-services/faq/do-i-need-permit-wood-stove-or-pellet-stove; https://www.mass.gov/handbook/tenth-edition-of-the-ma-state-building-code-780; https://www.townhall.westwood.ma.us/departments/community-economic-development/building-division/information-on-solid-fuel-burning-appliances",high,2026-07-09
Maryland,stove-install,license,"MHIC home-improvement contractor license — stove installation is permanently-affixed home improvement (MHIC FAQ logic: chimney caps/reinforcement need the license); NO solid-fuel trade credential; local building permits; MBPS adopts 2021 IRC (eff. 5/29/2023, counties amend; some moving to 2024 IRC)","MD Home Improvement Commission (Div. of Occupational & Professional Licensing); county permit offices","Md. Code, Bus. Reg. Title 8 (MHIC, per rights research); COMAR MBPS (2021 IRC)",none,"y (MHIC exam)","y — county-level permit + code amendments",https://www.dllr.state.md.us/license/mhic/mhicfaq.shtml; https://www.labor.maryland.gov/labor/build/buildcodes.shtml,high,2026-07-09
Virginia,stove-install,license,"DPOR contractor license (Class A/B/C, HVA classification is the accepted lane) for jobs >=$1,000; NO solid-fuel-specific tradesman credential — statutory 'tradesman' trades are electrical/plumbing/HVAC only and gas-fitter definitions are gas-specific, so whether an individual tradesman card is required for a pure wood-stove install is not explicit in statute (UNVERIFIED beyond classification practice); USBC permit; 2021 USBC (2021 IRC base) eff. 1/18/2024 — 'fireplace stoves and solid-fuel-type room heaters shall be listed and labeled and installed in accordance with the conditions of the listing' is code text","VA DPOR Board for Contractors; local building officials (USBC)","Va. Code § 54.1-1128 (tradesman definition — solid fuel absent); § 54.1-1103 contractor licensure; 2021 USBC","$1,000 (contractor license layer)","y (contractor exams)",n,"https://law.lis.virginia.gov/vacode/title54.1/chapter11/section54.1-1128/; https://www.dhcd.virginia.gov/codes; https://up.codes/viewer/virginia/va-mechanical-code-2012/chapter/9/specific-appliances-fireplaces-and-solid-fuel-burning-equipment",medium,2026-07-09
Ohio,stove-install,none,"No statewide residential credential (OCILB is commercial-only); RCO 2024 (2021 IRC base, eff. 3/1/2024) governs the work incl. listing/manufacturer-instruction rules; permits and any contractor registration are local; AG Home Construction Service Suppliers registration only >$25k","local building departments; Ohio Board of Building Standards (code only)","RCO 2024 (OAC 4101:8); ORC Ch. 4740 (OCILB, commercial); HCSSA cite UNVERIFIED (see Pass 1)","$25,000 (HCSSA registration layer only)",n,"y — Columbus/Cleveland/Cincinnati city contractor registration/licensing","https://codes.iccsafe.org/content/OHBC2024P1; https://dam.assets.ohio.gov/image/upload/com.ohio.gov/documents/2024%20Ohio%20Building%20Code%20Rules%20Effective%20March%201,%202024.pdf",high,2026-07-09
Illinois,stove-install,none,"No state credential of any kind for solid-fuel installs; historically no statewide residential code — since 1/1/2025 the Capital Development Board baseline requires every jurisdiction to regulate at least as stringently as ICC model codes (home rule preempted), so IRC listing/manufacturer-instruction rules now reach the whole state via local codes; Home Repair Act written-contract duty >$1k is the only consumer layer","local building departments; IL Capital Development Board (baseline code)","815 ILCS 513 (Home Repair Act); CDB statewide baseline code eff. 1/1/2025 (Capital Development Board Act)","$1,000 (written-contract duty only)",n,"y — Chicago building code + permits; Chicago restricts unvented appliances (see Pass 1)","https://cdb.illinois.gov/business/codes.html; https://iml.org/buildingcodes; https://www.ktjlaw.com/blog/new-reporting-requirements-for-adoption-and-amendments-to-county-and-municipal-building-codes/",high,2026-07-09
Michigan,stove-install,license,"Mechanical Contractor license, specialty classification (b) 'solid fuel and vented decorative gas appliances' — wood/pellet stoves are licensed mechanical work by name; mechanical permit required (fireplaces/solid fuel expressly in permit scope); code note: 2021 MRC adoption STAYED by Court of Claims order (Home Builders Assoc v. LARA, order 7/7/2025) — MRC 2015 (2015 IRC base) remains in effect as of 7/2026","MI LARA Bureau of Construction Codes (Mechanical Division)","Forbes Mechanical Contractors Act, Act 192 of 1984; Mich. Admin. Code R. 339.5161(1)(b); Mich. Admin. Code R. 408.30500 (MRC)","none found (mechanical act; $600 threshold is the builder act)","y (exam per classification)",n,"https://www.law.cornell.edu/regulations/michigan/Mich-Admin-Code-R-339-5161; https://www.michigan.gov/lara/bureau-list/bcc/sections/permit-section/permits/mechanical-permit-information; https://www.rhoadesmckee.com/michigan-pauses-implementation-of-residential-construction-codes-pending-results-of-lawsuits/",high,2026-07-09
Illinois,chimney-flashing,license,"IDFPR Roofing Contractor license (limited = residential <=8 units; unlimited = all) — 225 ILCS 335/9(2): NO roofing or waterproofing work of any kind except by a licensed roofing contractor, no dollar floor, so standalone chimney flashing/leak repair IS covered; EXEMPTION: 68 Ill. Adm. Code 1460.5 'Roofing' definition — sheet metal, electrical, plumbing, refrigeration or MASON contractors or carpenters performing CHIMNEY REPAIRS need no roofing license, so flashing replaced incidentally to a masonry chimney repair by a mason contractor is exempt while flashing-as-leak-repair is licensed roofing work; qualifying-party exam; $10k/$25k bond + $250k/$500k liability attach to the license","IL Dept. of Financial and Professional Regulation (Roofing Advisory Board)","Illinois Roofing Industry Licensing Act, 225 ILCS 335/2, 335/3, 335/9; 68 Ill. Adm. Code 1460.5, 1460.12, 1460.20, 1460.30",none,"y (Illinois Residential Roofing exam for limited; Commercial & Industrial for unlimited)","y — Chicago also requires city GC license + permits","https://www.ilga.gov/documents/legislation/ilcs/documents/022503350K2.htm; https://www.ilga.gov/documents/legislation/ilcs/documents/022503350K9.htm; https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=06801460",high,2026-07-09
Michigan,chimney-flashing,license,"Residential Builder or Residential Maintenance & Alteration Contractor license with 'roofing' craft/trade — roofing is an enumerated M&A trade, so chimney flashing/roof leak repair >=$600 requires the licensed roofing trade; sweeps holding only masonry trade would be outside scope for flashing work","MI LARA Bureau of Professional Licensing","Occupational Code, Act 299 of 1980, Article 24 (MCL 339.2401 et seq.; roofing enumerated in MCL 339.2404-related licensing docs); $600 threshold per builder act (rights research)","$600","y (trade exam)",n,"https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-339-2404; https://www.michigan.gov/lara/-/media/Project/Websites/lara/bcc-media/Licensing/Residential-Builders/Builders-FAQ.pdf; https://up.codes/s/residential-builder-and-residential-maintenance-and-alteration-contractor-regist",high,2026-07-09
Virginia,chimney-flashing,license,"DPOR contractor license (Class A/B/C) with ROC roofing specialty — ROC = 'installation, repair, removal or improvement of materials... that form a watertight, weather resistant surface for roofs' incl. roofing system components and waterproofing, which is where chimney flashing/leak repair sits; only for jobs >=$1,000 — most standalone flashing repairs fall under the threshold and need no license","VA DPOR Board for Contractors","Va. Code § 54.1-1103; 18VAC50-22-30 (ROC specialty definition)","$1,000","y (board exams)",n,"https://law.lis.virginia.gov/admincode/title18/agency50/chapter22/section30/; https://www.dpor.virginia.gov/sites/default/files/Records%20and%20Documents/Regulant%20List/VA%20Contractors%20Classifications%20&%20Specialties.pdf",high,2026-07-09
Massachusetts,chimney-flashing,license,"Specialty Roof Covering CSL (construct/reconstruct/alter/repair/remove roof coverings on 1-2 family + buildings <35,000 cu ft; may replace 25% sheathing/rafters) for building-permit roof work + HIC registration to contract on existing 1-4 family homes; minor flashing repair may qualify as ordinary repairs not requiring a permit (then HIC registration only) — permit-line judgment is local","MA Board of Building Regulations and Standards (CSL); Office of Consumer Affairs (HIC)","780 CMR 110.R5 (CSL specialty licensing); M.G.L. c. 142A (HIC)",none,"y (CSL Roof Covering exam; 3 yrs experience)",n,"https://www.mass.gov/construction-supervisor-licensing; https://www.law.cornell.edu/regulations/massachusetts/780-CMR-110-R5; https://myroofhub.com/legal/massachusetts-roofing-licenses-csl-hic/",high,2026-07-09
Maryland,chimney-flashing,license,"MHIC home-improvement contractor license — roofing repair incl. flashing on a residence is 'home improvement' with no dollar floor; NO roofing-specific license class; note MHIC FAQ: chimney CLEANING is expressly not home improvement (unregulated) while chimney caps/rebuilds/flashing-type repairs require the license","MD Home Improvement Commission","Md. Code, Bus. Reg. Title 8 (MHIC, per rights research)",none,"y (MHIC exam)","y — county permit regimes",https://www.dllr.state.md.us/license/mhic/mhicfaq.shtml,high,2026-07-09
New Hampshire,gas-fireplace-service,license,"Fuel Gas Fitter license (individual endorsements: Fuel Gas Piping Installer / Fuel Gas Installation Technician — 'installation of propane and natural gas piping from point of delivery to appliance, installation of gas appliances and equipment, venting, safety checks' / Fuel Gas Service Technician / Domestic Appliance Technician) + fuel gas fitting business entity license; propane AND natural gas under one fuel-gas track (no LP/NG license split)","NH Office of Professional Licensure and Certification — Mechanical Safety and Licensing Board (transferred from Dept. of Safety 2021)","RSA 153:27-38 (cited on OPLC page); N.H. Admin. Code Saf-Mec 300/305 (eligibility) + Saf-Mec 501 (fees)",none,"y (board-approved exam via approved providers + 60-140 hr education; CE 3 hrs code update/yr)",n,"https://www.oplc.nh.gov/mechanical-safety-and-licensing-education-certification-requirements; https://www.law.cornell.edu/regulations/new-hampshire/N-H-Admin-Code-SS-Saf-Mec-305.03; https://gc.nh.gov/rules/state_agencies/saf-mec300.html",high,2026-07-09
Vermont,gas-fireplace-service,license,"Gas Certificate of Fitness — three classes: 'Liquefied Propane (LP) Gas Installer' (CETP/PEP curriculum), 'Natural Gas Installer' (AGA course of study), 'Both Natural and LP Gas Installer' — explicit LP vs NG split with different third-party curricula; covers 'inspection, installation, and service' of LP or NG systems incl. appliances + venting; CE 8 hrs/3 yrs incl. 2 hrs CO prevention; DPS-certified tradespersons EXEMPT from OPR residential contractor registration (26 V.S.A. § 5502(2)(A))","VT Dept. of Public Safety — Division of Fire Safety (Trade Licensing & Certifications)","required under the Vermont Fire and Building Safety Code (DFS); enabling statute section UNVERIFIED; NFPA 54 + NFPA 58 adopted",none,"n state-written exam (third-party training credentials: CETP/PEP for LP, AGA for NG; CE required)",n,"https://firesafety.vermont.gov/licensing/gas-certifications; https://legislature.vermont.gov/statutes/fullchapter/26/106; public roster: https://data.vermont.gov/Government/Gas-Certifications/6n8x-pr2k/data",high,2026-07-09
Vermont,sweep,license,"T4 Chimney Sweep Certificate of Fitness (TQP) — 'certification, training, and education are necessary for those people who clean, maintain and evaluate chimneys and solid fuel burning appliances'; qualification = CURRENT CSIA or Certified Chimney Professionals certificate (voluntary industry cert written into a state credential — the NJ/CT NFI pattern applied to sweeps); NFPA 211 adopted; scope vs owner-occupied single-family dwellings UNVERIFIED (DFS premises jurisdiction) — BATCH2 BONUS FINDING, corrects rights-research-vermont.md 'no state license covers chimney work'","VT Dept. of Public Safety — Division of Fire Safety","Vermont Fire and Building Safety Code (DFS); enabling statute section UNVERIFIED; NFPA 211 current VT adopted edition",none,"y (via CSIA/CCP third-party certification requirement)",n,"https://firesafety.vermont.gov/licensing/t4-chimney-sweep; public roster: https://data.vermont.gov/Government/T4-Certifications/tjh9-m65b/data",high,2026-07-09
Maine,gas-fireplace-service,license,"Propane and Natural Gas Technician license, 'appliance connection and service' authority (install + service propane and natural gas appliances up to 500,000 BTU per appliance); one combined LP+NG license class BUT employees of companies under PUC jurisdiction (natural gas utilities) are EXEMPT (§ 18104(2)) — the ME LP-vs-NG jurisdiction quirk; homeowner personal-abode exemption (§ 18104(7)); municipalities PREEMPTED from requiring their own technician licenses (§ 18105); bonus: § 18108 requires chimney/fireplace installers to give a pre-install NFPA 211 compliance disclosure statement (fine $500+)","Maine Fuel Board — Office of Professional and Occupational Regulation, Dept. of Professional & Financial Regulation","32 M.R.S. §§ 18102 (license required), 18135 (propane and natural gas technician), 18104 (exceptions), 18108 (chimney/fireplace disclosure) — full chapter fetched",none,"y (board-approved exam + CETP or board-approved course, § 18135(2))",n,"https://legislature.maine.gov/statutes/32/title32ch139.pdf; https://www.maine.gov/pfr/professionallicensing/professions/maine-fuel-board",high,2026-07-09
Rhode Island,gas-fireplace-service,license,"Split by fuel: natural gas piping/appliance work = Pipefitter licenses (Master/Journeyperson I & II) or Plumber (Master/Journeyman); LP appliance work incl. residential gas stoves, GAS LOGS, grills, space heaters = 'PJF/Propane Gas Service' Master II / Journeyperson II (Limited) licenses (limited to propane burners <=500,000 BTU residential/commercial), installations performed under a Pipefitter Master — explicit LP vs NG split across license classes","RI Dept. of Labor & Training — Bureau of Pipefitters, Refrigeration Technicians, Sprinklerfitters, Sheet Metal Workers and Oil Heat Contractors; Board of Examiners of Plumbers (plumbing side)","260-RICR-30-15-2 (DLT trade rules; PJF/Propane classes); mechanical trades statute R.I. Gen. Laws ch. 28-27 (reported, not primary-fetched); plumbers ch. 5-20",none,"y (exam + 220 hr minimum combined classroom/laboratory training for PJF Journeyperson II)",n,"https://rules.sos.ri.gov/regulations/Part/260-30-15-2; https://www.ri.gov/Licensing/renewal/license.php?lic_id=35",high (license classes); medium (statute cite),2026-07-09
Rhode Island,gas-log-install,license,"PJF/Propane Gas Service license scope EXPRESSLY includes 'gas logs' (residential gas stoves, gas logs, gas grills, space heaters) for propane; NG log sets fall to pipefitter/plumber licenses; distinct LP lane tracked separately","RI Dept. of Labor & Training — Bureau of Pipefitters et al.","260-RICR-30-15-2",none,y,n,"https://rules.sos.ri.gov/regulations/Part/260-30-15-2",high,2026-07-09
Delaware,gas-fireplace-service,license,"Master HVACR licensee or Master HVACR restricted licensee (restricted specialty (f) 'gas piping' is a standalone class — narrow cheap lane) or Master Plumber (plumbing services include gas piping installation/connection); STATUTORY CARVE-OUT: 'gas piping' EXCLUDES 'the installation of gas appliances where existing service connections are already installed' (24 Del. C. § 1802(5)) — a gas-log/insert swap onto an existing gas line sits in a licensure grey zone; homeowner exemption expressly EXCLUDES gas piping (§ 1820(c)(2)); utility-owned gas infrastructure excluded; no separate LP license class found at DPR (State Fire Marshal LPG overlay UNVERIFIED)","DE Board of Plumbing, Heating, Ventilation, Air Conditioning and Refrigeration Examiners (Division of Professional Regulation); board adopts IFGC statewide, local govts must enforce it (§ 1806(c)-(d))","24 Del. C. ch. 18 — §§ 1802 (definitions), 1820 (license required + exemptions), 1821 (qualifications), 1806(c)-(d) (IFGC adoption) — fetched",none,"y (written standardized exam + journeyman cert/apprenticeship or 7 yrs supervised experience + equivalency test)",n,"https://delcode.delaware.gov/title24/c018/sc01/index.html; https://delcode.delaware.gov/title24/c018/sc03/index.html; https://dpr.delaware.gov/boards/plumbers/",high,2026-07-09
